"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.17768687500E+008, -1.93185733992E-001, +0.00000000000E+000
+4.20268500000E+008, -1.93149005314E-001, +0.00000000000E+000
+4.22768312500E+008, -1.93996142790E-001, +0.00000000000E+000
+4.25268125000E+008, -1.94283360034E-001, +0.00000000000E+000
+4.27767937500E+008, -1.93717237623E-001, +0.00000000000E+000
+4.30267750000E+008, -1.94850313167E-001, +0.00000000000E+000
+4.32767562500E+008, -1.94842171291E-001, +0.00000000000E+000
+4.35267375000E+008, -1.95324976868E-001, +0.00000000000E+000
+4.37767187500E+008, -1.95978889460E-001, +0.00000000000E+000
+4.40267000000E+008, -1.96136932093E-001, +0.00000000000E+000
+4.42766812500E+008, -1.96480382449E-001, +0.00000000000E+000
+4.45266625000E+008, -1.96426420097E-001, +0.00000000000E+000
+4.47766437500E+008, -1.97815627932E-001, +0.00000000000E+000
+4.50266250000E+008, -1.98126911852E-001, +0.00000000000E+000
+4.52766062500E+008, -1.97946267986E-001, +0.00000000000E+000
+4.55265875000E+008, -2.00178365043E-001, +0.00000000000E+000
+4.57765687500E+008, -2.00389918520E-001, +0.00000000000E+000
+4.60265500000E+008, -1.97246236645E-001, +0.00000000000E+000
+4.62765312500E+008, -2.01201965924E-001, +0.00000000000E+000
+4.65265125000E+008, -2.00820679809E-001, +0.00000000000E+000
+4.67764937500E+008, -2.02474581664E-001, +0.00000000000E+000
+4.70264750000E+008, -2.04666482907E-001, +0.00000000000E+000
+4.72764562500E+008, -2.04277806016E-001, +0.00000000000E+000
+4.75264375000E+008, -2.05166576446E-001, +0.00000000000E+000
+4.77764187500E+008, -2.03918339563E-001, +0.00000000000E+000
+4.80264000000E+008, -2.06370503993E-001, +0.00000000000E+000
+4.82763812500E+008, -2.06197220831E-001, +0.00000000000E+000
+4.85263625000E+008, -2.08734785751E-001, +0.00000000000E+000
+4.87763437500E+008, -2.08391569714E-001, +0.00000000000E+000
+4.90263250000E+008, -2.08934843508E-001, +0.00000000000E+000
+4.92763062500E+008, -2.09328154440E-001, +0.00000000000E+000
+4.95262875000E+008, -2.08031368004E-001, +0.00000000000E+000
+4.97762687500E+008, -2.08877973632E-001, +0.00000000000E+000
+5.00262500000E+008, -2.09270022265E-001, +0.00000000000E+000
+5.02762312500E+008, -2.10629219371E-001, +0.00000000000E+000
+5.05262125000E+008, -2.10143406014E-001, +0.00000000000E+000
+5.07761937500E+008, -2.09402936330E-001, +0.00000000000E+000
+5.10261750000E+008, -2.10007024268E-001, +0.00000000000E+000
+5.12761562500E+008, -2.09141594582E-001, +0.00000000000E+000
+5.15261375000E+008, -2.13318671658E-001, +0.00000000000E+000
+5.17761187500E+008, -2.12103247201E-001, +0.00000000000E+000
+5.20261000000E+008, -2.12074417457E-001, +0.00000000000E+000
+5.22760812500E+008, -2.11140345503E-001, +0.00000000000E+000
+5.25260625000E+008, -2.12346735213E-001, +0.00000000000E+000
+5.27760437500E+008, -2.12672244128E-001, +0.00000000000E+000
+5.30260250000E+008, -2.11960996954E-001, +0.00000000000E+000
